股票代码,起始日期,结束日期,行数,覆盖年数,收盘价<=0天数,成交量=0天数,单日涨跌幅绝对值>21%天数,收盘价较前日变动>50%天数,重复日期条数,关键字段NaN条数,任意红旗,红旗项,红旗分数
600150,2015-06-30,2026-06-30,2531,11.01,0,0,0,0,0,0,False,,0
600160,2015-06-30,2026-06-30,2651,11.01,0,0,0,0,0,0,False,,0
600176,2015-06-30,2026-06-30,2660,11.01,0,0,0,0,0,0,False,,0
600183,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
600188,2015-06-30,2026-06-30,2671,11.01,0,0,0,0,0,0,False,,0
600196,2015-06-30,2026-06-30,2670,11.01,0,0,0,0,0,0,False,,0
600219,2015-06-30,2026-06-30,2566,11.01,0,0,0,0,0,0,False,,0
600221,2015-06-30,2026-06-30,2540,11.01,0,0,0,0,0,0,False,,0
600233,2015-06-30,2026-06-30,2575,11.01,0,0,0,0,0,0,False,,0
600276,2015-06-30,2026-06-30,2671,11.01,0,0,0,0,0,0,False,,0
600309,2015-06-30,2026-06-30,2539,11.01,0,0,0,0,0,0,False,,0
600346,2015-09-22,2026-06-30,2502,10.78,0,0,0,0,0,0,False,,0
600362,2015-06-30,2026-06-30,2664,11.01,0,0,0,0,0,0,False,,0
600372,2015-06-30,2026-06-30,2644,11.01,0,0,0,0,0,0,False,,0
600406,2015-06-30,2026-06-30,2563,11.01,0,0,0,0,0,0,False,,0
600415,2015-06-30,2026-06-30,2669,11.01,0,0,0,0,0,0,False,,0
600426,2015-06-30,2026-06-30,2665,11.01,0,0,0,0,0,0,False,,0
600436,2015-06-30,2026-06-30,2667,11.01,0,0,0,0,0,0,False,,0
600438,2015-06-30,2026-06-30,2586,11.01,0,0,0,0,0,0,False,,0
600460,2015-06-30,2026-06-30,2587,11.01,0,0,0,0,0,0,False,,0
600482,2015-10-22,2026-06-30,2571,10.7,0,0,0,0,0,0,False,,0
600489,2015-06-30,2026-06-30,2655,11.01,0,0,0,0,0,0,False,,0
600515,2015-12-21,2026-06-30,2409,10.53,0,0,0,0,0,0,False,,0
600519,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
600522,2015-06-30,2026-06-30,2654,11.01,0,0,0,0,0,0,False,,0
600547,2015-06-30,2026-06-30,2636,11.01,0,0,0,0,0,0,False,,0
600549,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
600570,2015-06-30,2026-06-30,2666,11.01,0,0,0,0,0,0,False,,0
600584,2015-06-30,2026-06-30,2541,11.01,0,0,0,0,0,0,False,,0
600585,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
600588,2015-06-30,2026-06-30,2666,11.01,0,0,0,0,0,0,False,,0
600600,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
600660,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
600674,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
